"None","Points:0","Points:1","Points:2"
53.809,5.5278e+05,3.8679e+06,-1e+05
53.963,5.5678e+05,3.8679e+06,-1e+05
54.176,5.6078e+05,3.8679e+06,-1e+05
54.424,5.6478e+05,3.8679e+06,-1e+05
54.703,5.6878e+05,3.8679e+06,-1e+05
55.057,5.7278e+05,3.8679e+06,-1e+05
55.513,5.7678e+05,3.8679e+06,-1e+05
55.983,5.8078e+05,3.8679e+06,-1e+05
56.599,5.8478e+05,3.8679e+06,-1e+05
57.25,5.8878e+05,3.8679e+06,-1e+05
58.076,5.9278e+05,3.8679e+06,-1e+05
59.146,5.9678e+05,3.8679e+06,-1e+05
60.332,6.0078e+05,3.8679e+06,-1e+05
61.662,6.0478e+05,3.8679e+06,-1e+05
63.298,6.0878e+05,3.8679e+06,-1e+05
65.27,6.1278e+05,3.8679e+06,-1e+05
67.527,6.1678e+05,3.8679e+06,-1e+05
70.486,6.2078e+05,3.8679e+06,-1e+05
73.892,6.2478e+05,3.8679e+06,-1e+05
77.816,6.2878e+05,3.8679e+06,-1e+05
82.486,6.3278e+05,3.8679e+06,-1e+05
86.731,6.3678e+05,3.8679e+06,-1e+05
90.353,6.4078e+05,3.8679e+06,-1e+05
92.93,6.4478e+05,3.8679e+06,-1e+05
94.456,6.4878e+05,3.8679e+06,-1e+05
95.083,6.5278e+05,3.8679e+06,-1e+05
93.907,6.5678e+05,3.8679e+06,-1e+05
90.978,6.6078e+05,3.8679e+06,-1e+05
86.857,6.6478e+05,3.8679e+06,-1e+05
84.112,6.6878e+05,3.8679e+06,-1e+05
83.378,6.7278e+05,3.8679e+06,-1e+05
84.508,6.7678e+05,3.8679e+06,-1e+05
84.963,6.8078e+05,3.8679e+06,-1e+05
84.699,6.8478e+05,3.8679e+06,-1e+05
84.064,6.8878e+05,3.8679e+06,-1e+05
83.001,6.9278e+05,3.8679e+06,-1e+05
45.159,4.1278e+05,3.8719e+06,-1e+05
48.689,4.1678e+05,3.8719e+06,-1e+05
53.456,4.2078e+05,3.8719e+06,-1e+05
56.297,4.2478e+05,3.8719e+06,-1e+05
59.407,4.2878e+05,3.8719e+06,-1e+05
60.27,4.3278e+05,3.8719e+06,-1e+05
60.525,4.3678e+05,3.8719e+06,-1e+05
60.306,4.4078e+05,3.8719e+06,-1e+05
59.841,4.4478e+05,3.8719e+06,-1e+05
59.385,4.4878e+05,3.8719e+06,-1e+05
58.771,4.5278e+05,3.8719e+06,-1e+05
58.213,4.5678e+05,3.8719e+06,-1e+05
