"None","Points:0","Points:1","Points:2"
65.193,5.5278e+05,4.0199e+06,-1.923e+05
68.707,5.5278e+05,4.0239e+06,-1.923e+05
74.962,5.5278e+05,4.0279e+06,-1.923e+05
77.238,5.5278e+05,4.0319e+06,-1.923e+05
67.287,5.5278e+05,4.0359e+06,-1.923e+05
50.157,5.5278e+05,4.0399e+06,-1.923e+05
34.978,5.5278e+05,4.0439e+06,-1.923e+05
27.507,5.5278e+05,4.0479e+06,-1.923e+05
25.005,5.5278e+05,4.0519e+06,-1.923e+05
26.494,5.5278e+05,4.0559e+06,-1.923e+05
28.194,5.5278e+05,4.0599e+06,-1.923e+05
30.45,5.5278e+05,4.0639e+06,-1.923e+05
31.716,5.5278e+05,4.0679e+06,-1.923e+05
33.072,5.5278e+05,4.0719e+06,-1.923e+05
34.401,5.5278e+05,4.0759e+06,-1.923e+05
35.153,5.5278e+05,4.0799e+06,-1.923e+05
35.954,5.5278e+05,4.0839e+06,-1.923e+05
36.604,5.5278e+05,4.0879e+06,-1.923e+05
37.116,5.5278e+05,4.0919e+06,-1.923e+05
37.53,5.5278e+05,4.0959e+06,-1.923e+05
65.342,5.5278e+05,3.8639e+06,-1.8948e+05
64.582,5.5278e+05,3.8679e+06,-1.8948e+05
63.891,5.5278e+05,3.8719e+06,-1.8948e+05
63.328,5.5278e+05,3.8759e+06,-1.8948e+05
63.033,5.5278e+05,3.8799e+06,-1.8948e+05
63.042,5.5278e+05,3.8839e+06,-1.8948e+05
63.369,5.5278e+05,3.8879e+06,-1.8948e+05
64.244,5.5278e+05,3.8919e+06,-1.8948e+05
65.206,5.5278e+05,3.8959e+06,-1.8948e+05
66.623,5.5278e+05,3.8999e+06,-1.8948e+05
68.396,5.5278e+05,3.9039e+06,-1.8948e+05
70.131,5.5278e+05,3.9079e+06,-1.8948e+05
71.49,5.5278e+05,3.9119e+06,-1.8948e+05
69.786,5.5278e+05,3.9159e+06,-1.8948e+05
58.451,5.5278e+05,3.9199e+06,-1.8948e+05
46.563,5.5278e+05,3.9239e+06,-1.8948e+05
40.499,5.5278e+05,3.9279e+06,-1.8948e+05
45.982,5.5278e+05,3.9319e+06,-1.8948e+05
63.721,5.5278e+05,3.9359e+06,-1.8948e+05
90.145,5.5278e+05,3.9399e+06,-1.8948e+05
100,5.5278e+05,3.9439e+06,-1.8948e+05
100,5.5278e+05,3.9479e+06,-1.8948e+05
99.748,5.5278e+05,3.9519e+06,-1.8948e+05
99.085,5.5278e+05,3.9559e+06,-1.8948e+05
98.292,5.5278e+05,3.9599e+06,-1.8948e+05
97.816,5.5278e+05,3.9639e+06,-1.8948e+05
97.518,5.5278e+05,3.9679e+06,-1.8948e+05
97.376,5.5278e+05,3.9719e+06,-1.8948e+05
97.324,5.5278e+05,3.9759e+06,-1.8948e+05
97.38,5.5278e+05,3.9799e+06,-1.8948e+05
97.552,5.5278e+05,3.9839e+06,-1.8948e+05
97.92,5.5278e+05,3.9879e+06,-1.8948e+05
96.408,5.5278e+05,3.9919e+06,-1.8948e+05
94.572,5.5278e+05,3.9959e+06,-1.8948e+05
88.985,5.5278e+05,3.9999e+06,-1.8948e+05
87.205,5.5278e+05,4.0039e+06,-1.8948e+05
88.81,5.5278e+05,4.0079e+06,-1.8948e+05
85.442,5.5278e+05,4.0119e+06,-1.8948e+05
73.912,5.5278e+05,4.0159e+06,-1.8948e+05
71.689,5.5278e+05,4.0199e+06,-1.8948e+05
71.842,5.5278e+05,4.0239e+06,-1.8948e+05
72.265,5.5278e+05,4.0279e+06,-1.8948e+05
79.695,5.5278e+05,4.0319e+06,-1.8948e+05
77.183,5.5278e+05,4.0359e+06,-1.8948e+05
65.658,5.5278e+05,4.0399e+06,-1.8948e+05
47.753,5.5278e+05,4.0439e+06,-1.8948e+05
36.064,5.5278e+05,4.0479e+06,-1.8948e+05
29.91,5.5278e+05,4.0519e+06,-1.8948e+05
29.64,5.5278e+05,4.0559e+06,-1.8948e+05
30.012,5.5278e+05,4.0599e+06,-1.8948e+05
31.116,5.5278e+05,4.0639e+06,-1.8948e+05
32.788,5.5278e+05,4.0679e+06,-1.8948e+05
33.852,5.5278e+05,4.0719e+06,-1.8948e+05
34.809,5.5278e+05,4.0759e+06,-1.8948e+05
35.626,5.5278e+05,4.0799e+06,-1.8948e+05
36.158,5.5278e+05,4.0839e+06,-1.8948e+05
36.879,5.5278e+05,4.0879e+06,-1.8948e+05
37.216,5.5278e+05,4.0919e+06,-1.8948e+05
37.731,5.5278e+05,4.0959e+06,-1.8948e+05
65.934,5.5278e+05,3.8639e+06,-1.8665e+05
64.968,5.5278e+05,3.8679e+06,-1.8665e+05
64.062,5.5278e+05,3.8719e+06,-1.8665e+05
63.27,5.5278e+05,3.8759e+06,-1.8665e+05
62.711,5.5278e+05,3.8799e+06,-1.8665e+05
62.49,5.5278e+05,3.8839e+06,-1.8665e+05
62.711,5.5278e+05,3.8879e+06,-1.8665e+05
63.185,5.5278e+05,3.8919e+06,-1.8665e+05
64.203,5.5278e+05,3.8959e+06,-1.8665e+05
65.352,5.5278e+05,3.8999e+06,-1.8665e+05
67.166,5.5278e+05,3.9039e+06,-1.8665e+05
69.585,5.5278e+05,3.9079e+06,-1.8665e+05
71.916,5.5278e+05,3.9119e+06,-1.8665e+05
74.28,5.5278e+05,3.9159e+06,-1.8665e+05
74.339,5.5278e+05,3.9199e+06,-1.8665e+05
72.878,5.5278e+05,3.9239e+06,-1.8665e+05
67.887,5.5278e+05,3.9279e+06,-1.8665e+05
72.994,5.5278e+05,3.9319e+06,-1.8665e+05
83.121,5.5278e+05,3.9359e+06,-1.8665e+05
